symbol,name,exchange,yahoo_symbol,kite_symbol,upstox_instrument_key,sector,industry,base_price,enabled
ADVANIHOTR,ADVANI HOT.& RES.(I) LTD,NSE,ADVANIHOTR.NS,NSE:ADVANIHOTR,NSE_EQ|INE199C01026,,,100.0,1
ADVENTHTL,ADVENT HOTELS INTERNATI L,NSE,ADVENTHTL.NS,NSE:ADVENTHTL,NSE_EQ|INE28GN01010,,,100.0,1
ADVENZYMES,ADVANCED ENZYME TECH LTD,NSE,ADVENZYMES.NS,NSE:ADVENZYMES,NSE_EQ|INE837H01020,,,100.0,1
AEGISLOG,AEGIS LOGISTICS LIMITED,NSE,AEGISLOG.NS,NSE:AEGISLOG,NSE_EQ|INE208C01025,,,100.0,1
AEGISVOPAK,AEGIS VOPAK TERMINALS LTD,NSE,AEGISVOPAK.NS,NSE:AEGISVOPAK,NSE_EQ|INE0INX01018,,,100.0,1
AEPL,ARTEMIS ELECTRICALS & P L,NSE,AEPL.NS,NSE:AEPL,NSE_EQ|INE757T01025,,,100.0,1
AEQUS,AEQUS LIMITED,NSE,AEQUS.NS,NSE:AEQUS,NSE_EQ|INE947N01017,,,100.0,1
AEROENTER,AEROFLEX ENTERPRISES LTD,NSE,AEROENTER.NS,NSE:AEROENTER,NSE_EQ|INE065D01027,,,100.0,1
AEROFLEX,AEROFLEX INDUSTRIES LTD,NSE,AEROFLEX.NS,NSE:AEROFLEX,NSE_EQ|INE024001021,,,100.0,1
AERONEU,AEROFLEX NEU LIMITED,NSE,AERONEU.NS,NSE:AERONEU,NSE_EQ|INE035801013,,,100.0,1
AETHER,AETHER INDUSTRIES LIMITED,NSE,AETHER.NS,NSE:AETHER,NSE_EQ|INE0BWX01014,,,100.0,1
AFCONS,AFCONS INFRASTRUCTURE LTD,NSE,AFCONS.NS,NSE:AFCONS,NSE_EQ|INE101I01011,,,100.0,1
AFFLE,AFFLE 3I LIMITED,NSE,AFFLE.NS,NSE:AFFLE,NSE_EQ|INE00WC01027,,,100.0,1
AFFORDABLE,AFFORD ROBO & AUTO LTD,NSE,AFFORDABLE.NS,NSE:AFFORDABLE,NSE_EQ|INE692Z01013,,,100.0,1
AFIL,AKME FINTRADE (INDIA) LTD,NSE,AFIL.NS,NSE:AFIL,NSE_EQ|INE916Y01027,,,100.0,1
AFSL,ABANS FINANCIAL SRVCS LTD,NSE,AFSL.NS,NSE:AFSL,NSE_EQ|INE00ZE01026,,,100.0,1
AGARIND,AGARWAL INDS CORP LTD.,NSE,AGARIND.NS,NSE:AGARIND,NSE_EQ|INE204E01012,,,100.0,1
AGARWALEYE,DR AGARWALS HEALTH CARE L,NSE,AGARWALEYE.NS,NSE:AGARWALEYE,NSE_EQ|INE943P01029,,,100.0,1
AGI,AGI GREENPAC LIMITED,NSE,AGI.NS,NSE:AGI,NSE_EQ|INE415A01038,,,100.0,1
AGIIL,AGI INFRA LIMITED,NSE,AGIIL.NS,NSE:AGIIL,NSE_EQ|INE976R01033,,,100.0,1
AGRITECH,AGRI-TECH (INDIA) LIMITED,NSE,AGRITECH.NS,NSE:AGRITECH,NSE_EQ|INE449G01018,,,100.0,1
AGROPHOS,AGRO PHOS INDIA LIMITED,NSE,AGROPHOS.NS,NSE:AGROPHOS,NSE_EQ|INE740V01019,,,100.0,1
AHCL,ANLON HEALTHCARE LIMITED,NSE,AHCL.NS,NSE:AHCL,NSE_EQ|INE0Y8W01025,,,100.0,1
AHLADA,AHLADA ENGINEERS LIMITED,NSE,AHLADA.NS,NSE:AHLADA,NSE_EQ|INE00PV01013,,,100.0,1
AHLEAST,ASIAN HOTELS (EAST) LTD,NSE,AHLEAST.NS,NSE:AHLEAST,NSE_EQ|INE926K01017,,,100.0,1
AHLUCONT,AHLUWALIA CONT IND LTD,NSE,AHLUCONT.NS,NSE:AHLUCONT,NSE_EQ|INE758C01029,,,100.0,1
AHLWEST,ASIAN HOTELS (WEST) LTD,NSE,AHLWEST.NS,NSE:AHLWEST,NSE_EQ|INE915K01010,,,100.0,1
AIAENG,AIA ENGINEERING LIMITED,NSE,AIAENG.NS,NSE:AIAENG,NSE_EQ|INE212H01026,,,100.0,1
AIIL,AUTHUM INVEST & INFRA LTD,NSE,AIIL.NS,NSE:AIIL,NSE_EQ|INE206F01022,,,100.0,1
AIRAN,AIRAN LIMITED,NSE,AIRAN.NS,NSE:AIRAN,NSE_EQ|INE645W01026,,,100.0,1
AIROLAM,AIRO LAM LIMITED,NSE,AIROLAM.NS,NSE:AIROLAM,NSE_EQ|INE801L01010,,,100.0,1
AJANTPHARM,AJANTA PHARMA LIMITED,NSE,AJANTPHARM.NS,NSE:AJANTPHARM,NSE_EQ|INE031B01049,,,100.0,1
AJAXENGG,AJAX ENGINEERING LIMITED,NSE,AJAXENGG.NS,NSE:AJAXENGG,NSE_EQ|INE274Y01021,,,100.0,1
AJMERA,AJMERA REALTY & INF I LTD,NSE,AJMERA.NS,NSE:AJMERA,NSE_EQ|INE298G01035,,,100.0,1
AJOONI,AJOONI BIOTECH LIMITED,NSE,AJOONI.NS,NSE:AJOONI,NSE_EQ|INE820Y01021,,,100.0,1
AKASH,AKASH INFRA-PROJECTS LTD,NSE,AKASH.NS,NSE:AKASH,NSE_EQ|INE737W01013,,,100.0,1
AKCAPIT,A K CAPITAL SERVICES LTD.,NSE,AKCAPIT.NS,NSE:AKCAPIT,NSE_EQ|INE701G01012,,,100.0,1
AKG,AKG EXIM LIMITED,NSE,AKG.NS,NSE:AKG,NSE_EQ|INE00Y801016,,,100.0,1
AKI,AKI INDIA LIMITED,NSE,AKI.NS,NSE:AKI,NSE_EQ|INE642Z01026,,,100.0,1
AKSHAR,AKSHAR SPINTEX LIMITED,NSE,AKSHAR.NS,NSE:AKSHAR,NSE_EQ|INE256Z01025,,,100.0,1
AKSHARCHEM,AKSHARCHEM INDIA LIMITED,NSE,AKSHARCHEM.NS,NSE:AKSHARCHEM,NSE_EQ|INE542B01011,,,100.0,1
AKSHOPTFBR,AKSH OPTIFIBRE  LTD,NSE,AKSHOPTFBR.NS,NSE:AKSHOPTFBR,NSE_EQ|INE523B01011,,,100.0,1
AKUMS,AKUMS DRUGS AND PHARMA L,NSE,AKUMS.NS,NSE:AKUMS,NSE_EQ|INE09XN01023,,,100.0,1
ALANKIT,ALANKIT LIMITED,NSE,ALANKIT.NS,NSE:ALANKIT,NSE_EQ|INE914E01040,,,100.0,1
ALBERTDAVD,ALBERT DAVID LIMITED,NSE,ALBERTDAVD.NS,NSE:ALBERTDAVD,NSE_EQ|INE155C01010,,,100.0,1
ALEMBICLTD,ALEMBIC LIMITED,NSE,ALEMBICLTD.NS,NSE:ALEMBICLTD,NSE_EQ|INE426A01027,,,100.0,1
ALGOQUANT,ALGOQUANT FINTECH LIMITED,NSE,ALGOQUANT.NS,NSE:ALGOQUANT,NSE_EQ|INE598D01035,,,100.0,1
